,,,,,,,,,
Store,item,price,type,Cal,pic,,,,
85度C,小布立 (7入),$45,麵包,,http://www.85cafe.com/file/product/w500/%E5%B0%8F%E5%B8%83%E7%AB%8B.jpg,,,,
85度C,小可頌,單入$12,麵包,,http://www.85cafe.com/file/product/w500/%E4%B8%B9%E9%BA%A5-%E5%B0%8F%E5%8F%AF%E9%A0%8C.jpg,,,,
85度C,日式奶油花捲,$28,麵包,,http://www.85cafe.com/file/product/w500/%E6%97%A5%E5%BC%8F%E5%A5%B6%E6%B2%B9%E8%8A%B1%E6%8D%B2.jpg,,,,
85度C,丹麥菠蘿,$28,麵包,,http://www.85cafe.com/file/product/w500/%E4%B8%B9%E9%BA%A5-%E6%B3%A2%E8%98%BF.jpg,,,,
85度C,丹麥奶酥菠蘿,$32,麵包,,http://www.85cafe.com/file/product/w500/%E4%B8%B9%E9%BA%A5-%E5%A5%B6%E9%85%A5%E6%B3%A2%E8%98%BF-0.jpg,,,,
85度C,楓糖唱片,$55,麵包,,http://www.85cafe.com/file/product/w500/%E6%A5%93%E7%B3%96%E5%94%B1%E7%89%87-01.jpg,,,,
85度C,牛奶紅豆,$25,麵包,,http://www.85cafe.com/file/product/w500/%E7%89%9B%E5%A5%B6%E7%B4%85%E8%B1%86-01.jpg,,,,
85度C,亞培呢咖啡小吐司,$30,麵包,,http://www.85cafe.com/file/product/w500/%E4%BA%9E%E5%9F%B9%E5%91%A2%E5%92%96%E5%95%A1%E5%B0%8F%E5%90%90%E5%8F%B8.jpg,,,,
85度C,醇香冰乳酪,$25,麵包,,http://www.85cafe.com/file/product/w500/%E6%97%A5%E5%BC%8F-%E9%86%87%E9%A6%99%E5%86%B0%E4%B9%B3%E9%85%AA.jpg,,,,
85度C,青醬蔬菜培根,$30,麵包,,http://www.85cafe.com/file/product/w500/%E6%97%A5%E5%BC%8F-%E9%9D%92%E9%86%AC%E8%94%AC%E8%8F%9C%E5%9F%B9%E6%A0%B9.jpg,,,,
85度C,鮮奶核桃,$45,麵包,,http://www.85cafe.com/file/product/w500/%E6%97%A5%E5%BC%8F%E9%AE%AE%E5%A5%B6%E6%A0%B8%E6%A1%83.jpg,,,,
85度C,帕瑪森起士堡,$40,麵包,,http://www.85cafe.com/file/product/w500/%E6%97%A5%E5%BC%8F-%E5%B8%95%E7%91%AA%E6%A3%AE%E8%B5%B7%E5%A3%AB%E5%A0%A1.jpg,,,,
85度C,巧克聖代,$40,麵包,,http://www.85cafe.com/file/product/w500/%E6%97%A5%E5%BC%8F-%E5%B7%A7%E5%85%8B%E5%8A%9B%E8%81%96%E4%BB%A3.jpg,,,,
85度C,巴布羅,$38,麵包,,http://www.85cafe.com/file/product/w500/%E6%97%A5%E5%BC%8F-%E5%B7%B4%E5%B8%83%E7%BE%85.jpg,,,,
85度C,椰香捲,$35,麵包,,http://www.85cafe.com/file/product/w500/%E6%97%A5%E5%BC%8F-%E6%A4%B0%E9%A6%99%E6%8D%B2.jpg,,,,
85度C,南瓜乳酪,$32,麵包,,http://www.85cafe.com/file/product/w500/%E6%97%A5%E5%BC%8F-%E5%8D%97%E7%93%9C%E4%B9%B3%E9%85%AA%20%E5%90%88%E6%88%90.jpg,,,,
85度C,特級牛奶,$28,麵包,,http://www.85cafe.com/file/product/w500/%E6%97%A5%E5%BC%8F-%E7%89%B9%E7%B4%9A%E7%89%9B%E5%A5%B6.jpg,,,,
85度C,日式紅豆,$18,麵包,,http://www.85cafe.com/file/product/w500/%E6%97%A5-%E6%97%A5%E5%BC%8F%E7%B4%85%E8%B1%86.jpg,,,,
85度C,Q版巧克力黑炫風,$18,麵包,,http://www.85cafe.com/file/product/w500/%E6%97%A5%E5%BC%8F-Q%E7%89%88%E5%B7%A7%E5%85%8B%E5%8A%9B%E9%BB%91%E7%82%AB%E9%A2%A8.jpg,,,,
85度C,黑岩豆豆(5入),$60,麵包,,http://www.85cafe.com/file/product/w500/%E6%97%A5%E5%BC%8F-%E9%BB%91%E5%B2%A9%E8%B1%86%E8%B1%86.jpg,,,,
85度C,香蒜小羅宋,$20,麵包,,http://www.85cafe.com/file/product/w500/%E9%A6%99%E8%92%9C%E5%B0%8F%E7%BE%85%E5%AE%8B-01.jpg,,,,
85度C,奶香起士羅宋,$20,麵包,,http://www.85cafe.com/file/product/w500/%E5%A5%B6%E6%B2%B9%E8%B5%B7%E5%A3%AB%E7%BE%85%E5%AE%8B-01.jpg,,,,
85度C,切達起士羅宋,$20,麵包,,http://www.85cafe.com/file/product/w500/%E5%88%87%E9%81%94%E8%B5%B7%E5%A3%AB%E7%BE%85%E5%AE%8B-01.jpg,,,,
85度C,招牌奶香,$60,麵包,,http://www.85cafe.com/file/product/w500/%E6%9C%AC%E5%9C%9F-%E6%8B%9B%E7%89%8C%E5%A5%B6%E9%A6%99.jpg,,,,
85度C,胚芽肉鬆餐包 (5入),$40,麵包,,http://www.85cafe.com/file/product/w500/%E6%9C%AC%E5%9C%9F-%E8%83%9A%E8%8A%BD%E8%82%89%E9%AC%86%E9%A4%90%E5%8C%85(5%E5%85%A5).jpg,,,,
85度C,特濃奶油餐包 (6入),$38,麵包,,http://www.85cafe.com/file/product/w500/%E6%9C%AC%E5%9C%9F-%E7%89%B9%E6%BF%83%E5%A5%B6%E6%B2%B9%E9%A4%90%E5%8C%85(6%E5%85%A5).jpg,,,,
85度C,葡萄捲,$35,麵包,,http://www.85cafe.com/file/product/w500/%E6%9C%AC%E5%9C%9F-%E8%91%A1%E8%90%84%E6%8D%B2.jpg,,,,
85度C,香蒜起士條,$32,麵包,,http://www.85cafe.com/file/product/w500/%E6%9C%AC%E5%9C%9F-%E9%A6%99%E8%92%9C%E8%B5%B7%E5%A3%AB%E6%A2%9D.jpg,,,,
85度C,蒜味熱狗,$28,麵包,,http://www.85cafe.com/file/product/w500/%E6%9C%AC%E5%9C%9F-%E8%92%9C%E5%91%B3%E7%86%B1%E7%8B%97.jpg,,,,
